month_year,remittance,pesoperdollar,cpi_2018
13-Jan,1698.661601,40.7295,86.4
13-Feb,1700.101658,40.6723,86.6
13-Mar,1768.424775,40.7127,86.6
13-Apr,1819.145435,41.1422,86.8
13-May,1879.00687,41.2976,86.8
13-Jun,1934.763722,42.9069,87.3
13-Jul,1946.023524,43.3559,87.5
13-Aug,1937.976604,43.8639,87.6
13-Sep,1952.805169,43.8318,88.1
13-Oct,2083.233249,43.1825,88.2
13-Nov,2084.451645,43.5546,88.6
13-Dec,2179.440557,44.1043,89.3
14-Jan,1865.391676,44.9266,89.7
14-Feb,1790.882028,44.895,89.8
14-Mar,2062.611417,44.7916,89.7
14-Apr,1998.097466,44.6416,89.9
14-May,1959.364055,43.9236,90.3
14-Jun,2008.744231,43.8175,90.6
14-Jul,2124.822905,43.4665,91.1
14-Aug,2007.051675,43.7673,91.3
14-Sep,2205.430489,44.0751,91.5
14-Oct,2258.047539,44.7979,91.4
14-Nov,1993.239598,44.9514,91.2
14-Dec,2354.375389,44.6878,91
15-Jan,1927.251612,44.6044,91
15-Feb,1935.784226,44.2214,91.1
15-Mar,2394.164644,44.4457,91
15-Apr,2069.991899,44.4136,91.2
15-May,2067.544602,44.6106,91.1
15-Jun,2226.773886,44.9831,91.1
15-Jul,2252.852538,45.2649,91.3
15-Aug,1994.102307,46.142,91.3
15-Sep,2234.060141,46.7504,91.1
15-Oct,2163.566217,46.3609,91.2
15-Nov,1870.574139,47.0067,91.5
15-Dec,2470.163967,47.2303,91.6
16-Jan,1997.250588,47.5111,91.7
16-Feb,2097.907114,47.6361,91.6
16-Mar,2361.757075,46.724,91.6
16-Apr,2213.237647,46.2845,91.8
16-May,2188.361537,46.8023,92
16-Jun,2333.960365,46.4645,92.3
16-Jul,2130.866174,47.0581,92.5
16-Aug,2318.977165,46.6809,92.5
16-Sep,2383.072627,47.4294,92.7
16-Oct,2098.801669,48.3482,92.8
16-Nov,2216.884693,49.155,93.4
16-Dec,2558.763611,49.8156,93.7
17-Jan,2168.689329,49.7363,94
17-Feb,2169.240831,49.9614,94.4
17-Mar,2615.215937,50.2752,94.4
17-Apr,2082.618363,49.8626,94.7
17-May,2309.75769,49.8603,94.6
17-Jun,2467.072519,49.8501,94.6
17-Jul,2282.731305,50.6382,94.7
17-Aug,2499.483354,50.8747,94.9
17-Sep,2186.091084,51.0094,95.5
17-Oct,2275.151361,51.3433,95.7
17-Nov,2262.312683,51.0384,96.2
17-Dec,2741.425039,50.3947,96.4
18-Jan,2379.20121,50.5087,97.2
18-Feb,2267.355694,51.7856,97.9
18-Mar,2359.61543,52.0676,98.4
18-Apr,2346.899889,52.0986,98.8
18-May,2469.382612,52.1948,99
18-Jun,2356.881048,53.0476,99.4
18-Jul,2400.78979,53.4329,100.2
18-Aug,2476.473882,53.2735,101.1
18-Sep,2237.003014,53.9419,102.1
18-Oct,2473.97228,54.0086,102.3
18-Nov,2326.471305,52.8083,102
18-Dec,2849.065782,52.7691,101.4
19-Jan,2483.616376,52.4679,101.5
19-Feb,2300.796663,52.1901,101.6
19-Mar,2514.251208,52.4134,101.7
19-Apr,2440.629946,52.1122,102
19-May,2609.470904,52.262,102.2
19-Jun,2289.532098,51.8029,102.1
19-Jul,2580.711356,51.1429,102.4
19-Aug,2589.236323,52.0547,102.5
19-Sep,2379.041953,52.1052,102.6
19-Oct,2671.198903,51.5042,102.9
19-Nov,2372.398541,50.7268,103.2
19-Dec,2902.415627,50.7671,103.8
20-Jan,2648.018852,50.8386,104.5
20-Feb,2357.902421,50.7448,104.1
20-Mar,2396.623671,50.9036,103.9
20-Apr,2045.912664,50.7349,103.8
20-May,2105.649769,50.5556,103.8
20-Jun,2465.332589,50.0972,104.4
20-Jul,2782.536122,49.4675,104.9
20-Aug,2482.66514,48.8433,104.8
20-Sep,2601.263303,48.5057,104.9
20-Oct,2747.463708,48.4822,105.3
20-Nov,2379.474159,48.2521,106.3
20-Dec,2890.413297,48.0637,107.2
21-Jan,2602.547153,48.0614,108.4
21-Feb,2475.78198,48.2042,108.5
21-Mar,2514.296857,48.5743,108.2
21-Apr,2305.150698,48.462,108.1
21-May,2382.115252,47.9552,108.1
21-Jun,2637.941723,48.1247,108.3
21-Jul,2853.023368,49.943,108.8
21-Aug,2608.916209,50.2343,109.4
21-Sep,2736.862358,50.1421,109.3
21-Oct,2812.043952,50.7491,109.5
21-Nov,2501.820341,50.3571,110.2
21-Dec,2987.114531,50.2478,110.5
22-Jan,2668.183701,51.2353,111.7
22-Feb,2508.601256,51.2807,111.8
22-Mar,2594.39819,52.074,112.5
22-Apr,2395.492673,51.976,113.4
22-May,2425.325801,52.3618,113.9
22-Jun,2754.673748,53.5685,114.9
22-Jul,2917.313541,55.8925,115.8
22-Aug,2721.458443,55.7501,116.3
22-Sep,2840.04155,57.4338,116.8
22-Oct,2910.946005,58.8247,117.9
22-Nov,2643.861067,57.6523,119
22-Dec,3159.134103,55.6839,119.4
23-Jan,2761.929744,54.9913,121.4
23-Feb,2569.344692,54.7831,121.4
23-Mar,2670.971961,54.7956,121.1
23-Apr,2484.79318,55.3155,120.9
23-May,2493.80346,55.7279,120.9
23-Jun,2812.471417,55.8946,121.1
23-Jul,2991.816264,54.9211,121.2
23-Aug,2795.824561,56.1599,122.5
23-Sep,2912.882483,56.7869,123.9
23-Oct,2997.924507,56.7889,123.7
23-Nov,2718.834516,55.8122,123.9
23-Dec,3280.333485,55.5877,124.1
24-Jan,2835.904995,55.9723,124.8
24-Feb,2645.557231,56.0649,125.5
24-Mar,2737.834128,55.8493,125.6
24-Apr,2562.306965,56.9506,125.5
24-May,2583.468575,57.7619,125.6
24-Jun,2881.751099,58.6963,125.6
24-Jul,3084.75656,58.4845,126.5
24-Aug,2885.405137,57.1935,126.6
24-Sep,3008.765056,56.0713,126.3
24-Oct,3078.713369,57.3009,126.5
24-Nov,2808.335225,58.6947,127
24-Dec,3379.818018,58.448,127.7
25-Jan,2835.904995,58.3906,128.4
